"","pptnum","Title","Artist","memoryage","type","vivid","memvalence","memenergy","unique","important","social","emo","emoextra","corresponding","specific","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","key_name","mode_name","key_mode","Age"
"1179",188,"That's What I Like","Bruno Mars",16,2,5,3,4,3,4,3,"24,4,34","",0,1,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,"0KKkJNfGyhkQ5aFogxQAPU","C#","major","C# major",18
"1180",189,"Heat Waves","Glass Animals",15,3,3,4,1,1,1,1,"23,9","",0,0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"6CDzDgIUqeDY5g8ujExx2f","B","major","B major",18
"1181",189,"Levitating","Dua Lipa",17,4,7,5,5,1,1,5,"24,19","",1,0,0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,"39LLxExYz6ewLAcYrzQQyP","F#","minor","F# minor",18
"1182",189,"Blinding Lights","The Weeknd",16,4,3,3,5,1,1,1,"","motivating",1,0,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"0sf12qNH5qcw8qpgymFOqD","C#","major","C# major",18
"1183",189,"bad guy","Billie Eilish",15,4,3,3,1,1,1,1,"4","",0,0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,"2Fxmhks0bxGSBdJ92vM42m","G","major","G major",18
"1184",189,"rockstar (feat. 21 Savage)","Post Malone�featuring�21 Savage",18,4,1,3,3,1,1,1,"9","",1,0,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,"0e7ipj03S05BNilyu5bRzt","F","minor","F minor",18
"1185",189,"Shape of You","Ed Sheeran",15,2,7,4,4,3,1,3,"19,25","",0,1,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"7qiZfU4dY1lWllzX7mPBI3","C#","minor","C# minor",18
"1186",189,"Work","Rihanna�featuring�Drake",17,4,4,2,2,1,1,2,"","irritating",0,0,0.725,0.534,11,-6.238,1,0.0946,0.0752,0,0.0919,0.558,91.974,"32lmL4vQAAotg6MrJnhlQZ","B","major","B major",18
"1187",189,"Sugar","Maroon 5",10,3,1,5,4,1,1,1,"24,25","",1,0,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,"494OU6M7NOf4ICYb4zWCf5","C#","major","C# major",18
"1188",189,"All of Me","John Legend",11,4,2,3,1,1,1,1,"","",0,0,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,"3U4isOIWM3VvDubwSI3y7a","G#","major","G# major",18
"1189",190,"Without Me","Halsey",16,4,3,5,5,1,5,2,"24,4","",1,0,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"5p7ujcrUXASCNwRaWNHR1C","F#","major","F# major",21
"1190",190,"Sorry","Justin Bieber",13,2,4,1,2,1,1,1,"15","",1,1,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,"09CtPGIpYB4BrO8qb1RGsF","C","minor","C minor",21
"1191",190,"All of Me","John Legend",19,4,6,3,4,2,3,2,"19,8,11,6,36","",0,0,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,"3U4isOIWM3VvDubwSI3y7a","G#","major","G# major",21
"1192",191,"STAY (with Justin Bieber)","The Kid Laroi�and�Justin Bieber",17,4,2,4,3,1,1,2,"4,34,23,19,25","",0,0,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,"5HCyWlXZPP0y6Gqq8TgA20","C#","major","C# major",19
"1193",191,"Mood (feat. iann dior)","24kGoldn�featuring�Iann Dior",15,3,7,2,4,4,4,1,"25,6,33,14","",0,0,0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,"4jPy3l0RUwlUI9T5XHBW2m","G","minor","G minor",19
"1194",191,"Blinding Lights","The Weeknd",16,4,5,5,4,4,3,4,"24,25","",0,0,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"0sf12qNH5qcw8qpgymFOqD","C#","major","C# major",19
"1195",191,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X�featuring�Billy Ray Cyrus",14,4,5,5,3,4,3,4,"24,4,25","",0,0,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,"6u7jPi22kF8CTQ3rb9DHE7","F#","major","F# major",19
"1196",191,"Perfect","Ed Sheeran",10,3,7,5,4,3,4,4,"24,4,25","",0,0,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,"0tgVpDi06FyKpA1z0VMD4v","G#","major","G# major",19
"1197",191,"Despacito - Remix","Luis Fonsi�and�Daddy Yankee�featuring�Justin Bieber",12,4,4,5,3,3,3,5,"1,24,23,19,25","",0,0,0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,"6rPO02ozF3bM7NnOV4h6s2","D","major","D major",19
"1198",191,"Stressed Out","Twenty One Pilots",14,3,6,3,4,3,5,3,"23,25,33,14","",0,0,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,"3CRDbSIZ4r5MsZ0YwxuEkn","E","minor","E minor",19
"1199",191,"Trap Queen","Fetty Wap",10,2,5,5,3,4,5,4,"19,25","",0,1,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,"4AtfPLLTc3Pi1eP6mXGej8","G","major","G major",19
"1200",191,"Fancy","Iggy Azalea�featuring�Charli XCX",10,4,2,5,2,2,2,4,"24,4,23,19,25","",0,0,0.912,0.716,10,-4.141,0,0.0697,0.0904,0,0.0491,0.377,94.981,"3W3KtDwAIg3mAruSpnfG3Q","A#","minor","A# minor",19
"1201",191,"Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis�featuring�Wanz",15,4,1,3,3,1,1,3,"23,25,6","",0,0,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,"4YMqbFcDIFiCBd02PzUBcM","F#","minor","F# minor",19
"1202",192,"Easy On Me","Adele",16,3,5,5,4,2,4,4,"24,4,19,25","",0,0,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,"0gplL1WMoJ6iYaPgMCL0gX","F","major","F major",18
"1203",192,"Wow.","Post Malone",16,4,2,3,2,2,1,4,"19","",0,0,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,"6MWtB6iiXyIwun0YzU6DFP","B","minor","B minor",18
"1204",192,"HUMBLE.","Kendrick Lamar",17,4,6,3,2,1,1,4,"23","",1,0,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,"7KXjTSCq5nL1LoYtL7XAwS","C#","minor","C# minor",18
"1205",192,"Happy - From ""Despicable Me 2""","Pharrell Williams",10,4,2,3,2,2,1,1,"24","",0,0,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,"5b88tNINg4Q4nrRbrCXUmg","F","minor","F minor",18
